City,Y,X,CENSUS2010POP,POPESTIMATE2017,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,NETMIG2017,LANDAREA,TRIPS
"New York-Newark-Jersey City, NY-NJ-PA",40.7127837,-74.0059413,19567410,20320876,6065,46059,20448,18908,-6889,-17606,-40467,-48021,6686.89994,4278354354
"Los Angeles-Long Beach-Anaheim, CA",34.0522342,-118.2436849,12828837,13353907,-10410,3266,12391,2382,-12778,-12708,-29516,-46586,4848.451318,678864687.3
"Chicago-Naperville-Elgin, IL-IN-WI",41.8781136,-87.6297982,9461105,9533040,-6156,-31044,-26070,-27478,-39048,-52613,-57036,-56875,7196.805145,647380752.3
"Dallas-Fort Worth-Arlington, TX",32.7801399,-96.8004511,6426214,7399662,10475,60959,76250,54959,75854,92414,95048,89627,8927.502144,78448549.2
"Houston-The Woodlands-Sugar Land, TX",29.7601927,-95.3693896,5920416,6892427,12854,51510,67710,87927,105427,104241,70999,32722,8827.487817,84644385.2
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",39.952335,-75.163789,5965343,6096120,319,4509,3854,-2369,-841,-3402,-4289,5120,4602.101334,371403857.4
"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.9071923,-77.0368707,5636232,6216589,16565,61047,46558,42501,17839,13927,14114,23217,5598.31968,476298853.2
"Miami-Fort Lauderdale-West Palm Beach, FL",25.7890972,-80.2040435,5564635,6158824,13645,91700,63768,63194,58767,62024,62399,34647,5077.264172,171636611.3
"Atlanta-Sandy Springs-Roswell, GA",33.7489954,-84.3879824,5286728,5884736,5857,27727,37094,27863,49760,59559,57377,53739,8338.541068,139697135.5
"Boston-Cambridge-Newton, MA-NH",42.3584308,-71.0597732,4552402,4836531,7563,26497,27749,30561,25866,19893,15996,16890,#N/A,401825313.4
"San Francisco-Oakland-Hayward, CA",37.7749295,-122.4194155,4335391,4727357,3319,31203,41127,42506,43618,39288,20630,8595,#N/A,442989704.5
"Phoenix-Mesa-Scottsdale, AZ",33.4483771,-112.0740373,4192887,4737270,3771,13726,43150,39314,50181,58202,65193,63359,#N/A,74809500
"Riverside-San Bernardino-Ontario, CA",33.9533487,-117.3961564,4224851,4580670,9678,19433,9794,4160,14970,14634,21478,28037,27263.41827,25441313.1
"Detroit-Warren-Dearborn, MI",42.331427,-83.0457538,4296250,4313002,-8683,-13341,-3737,-6602,-5973,-9239,-5416,-1649,#N/A,42106116.5
"Seattle-Tacoma-Bellevue, WA",47.6062095,-122.3320708,3439809,3867046,2296,27230,32969,36027,33862,39500,52000,42466,5872.347819,201586242
"Minneapolis-St. Paul-Bloomington, MN-WI",44.983334,-93.26667,3348859,3600618,-190,10024,9758,12937,11138,5819,13296,21202,6027.170408,94830454.5
"San Diego-Carlsbad, CA",32.715738,-117.1610838,3095313,3337685,2728,11360,16507,14072,16393,9831,5730,-339,#N/A,103950113.4
